la_code,year,qof_prevalence,period
E06000001,2012,16.8568616776247,2012/13
E06000001,2013,16.8328942416259,2013/14
E06000001,2014,16.761791269443,2014/15
E06000001,2015,16.8820611164381,2015/16
E06000001,2016,16.8900636889647,2016/17
E06000001,2017,16.9661673258796,2017/18
E06000001,2018,17.0764222601147,2018/19
E06000001,2019,17.1966228854282,2019/20
E06000001,2020,16.9285116668216,2020/21
E06000001,2021,17.0930675143248,2021/22
E06000001,2022,17.5854386395225,2022/23
E06000001,2023,17.9728486661882,2023/24
E06000001,2024,18.59032252,2024/25
E06000002,2012,13.3955686246814,2012/13
E06000002,2013,13.4178251773753,2013/14
E06000002,2014,13.3381523227102,2014/15
E06000002,2015,13.3275140106519,2015/16
E06000002,2016,13.3577914681803,2016/17
E06000002,2017,13.2956638466581,2017/18
E06000002,2018,13.3310620373525,2018/19
E06000002,2019,13.3733979272705,2019/20
E06000002,2020,13.1299192164669,2020/21
E06000002,2021,13.0085087326467,2021/22
E06000002,2022,13.4399971879174,2022/23
E06000002,2023,14.0054590858935,2023/24
E06000002,2024,14.77189935,2024/25
E06000003,2012,16.3998963998964,2012/13
E06000003,2013,16.5554496345726,2013/14
E06000003,2014,16.6857793922893,2014/15
E06000003,2015,16.6963392384203,2015/16
E06000003,2016,16.8117225851696,2016/17
E06000003,2017,16.8780387792162,2017/18
E06000003,2018,17.0021182585149,2018/19
E06000003,2019,17.2777301833917,2019/20
E06000003,2020,17.3232352599139,2020/21
E06000003,2021,17.5907528534757,2021/22
E06000003,2022,18.32946803361,2022/23
E06000003,2023,19.3245198016596,2023/24
E06000003,2024,20.19306512,2024/25
E06000004,2012,14.0879416380804,2012/13
E06000004,2013,14.2581662765849,2013/14
E06000004,2014,14.2610434466461,2014/15
E06000004,2015,14.6165219278105,2015/16
E06000004,2016,14.7303962400359,2016/17
E06000004,2017,14.8847701378376,2017/18
E06000004,2018,15.0780325205668,2018/19
E06000004,2019,15.3329453655938,2019/20
E06000004,2020,15.2657547197684,2020/21
E06000004,2021,15.4410758615297,2021/22
E06000004,2022,16.1417341902737,2022/23
E06000004,2023,16.6722301170232,2023/24
E06000004,2024,17.13693935,2024/25
E06000005,2012,14.7723211766697,2012/13
E06000005,2013,15.0353235562496,2013/14
E06000005,2014,15.1275393023539,2014/15
E06000005,2015,15.2480354549179,2015/16
E06000005,2016,15.5980923396675,2016/17
E06000005,2017,15.8229660210764,2017/18
E06000005,2018,15.9505986647294,2018/19
E06000005,2019,16.1725635340895,2019/20
E06000005,2020,16.0224461583236,2020/21
E06000005,2021,16.3177129277909,2021/22
E06000005,2022,17.013966157215,2022/23
E06000005,2023,17.6740795390669,2023/24
E06000005,2024,18.40399958,2024/25
E06000006,2012,14.8445031876847,2012/13
E06000006,2013,14.9852333594301,2013/14
E06000006,2014,15.2444629514688,2014/15
E06000006,2015,15.2273967129477,2015/16
E06000006,2016,15.4385157927016,2016/17
E06000006,2017,15.6151395515449,2017/18
E06000006,2018,15.7995986541334,2018/19
E06000006,2019,16.0561839018431,2019/20
E06000006,2020,15.8923512747875,2020/21
E06000006,2021,15.9528211195741,2021/22
E06000006,2022,16.5841913231015,2022/23
E06000006,2023,17.189245604751,2023/24
E06000006,2024,17.69262277,2024/25
E06000007,2012,13.5155322327345,2012/13
E06000007,2013,13.5785288270378,2013/14
E06000007,2014,13.6611021107746,2014/15
E06000007,2015,13.9409535069722,2015/16
E06000007,2016,13.9948996671984,2016/17
E06000007,2017,13.9701700636592,2017/18
E06000007,2018,14.0998710488784,2018/19
E06000007,2019,14.3420826122804,2019/20
E06000007,2020,14.2340015856835,2020/21
E06000007,2021,14.4287636511562,2021/22
E06000007,2022,15.418700713481,2022/23
E06000007,2023,15.8302236770322,2023/24
E06000007,2024,16.407317,2024/25
E06000008,2012,12.2124071353125,2012/13
E06000008,2013,12.3445269959013,2013/14
E06000008,2014,12.9312168068807,2014/15
E06000008,2015,12.6473528796298,2015/16
E06000008,2016,12.9392337036888,2016/17
E06000008,2017,12.707200618221,2017/18
E06000008,2018,12.8745198811315,2018/19
E06000008,2019,14.0940988031833,2019/20
E06000008,2020,13.837774015327,2020/21
E06000008,2021,13.8841097582495,2021/22
E06000008,2022,14.2695554766263,2022/23
E06000008,2023,14.6155418562868,2023/24
E06000008,2024,14.97806037,2024/25
E06000009,2012,16.6012663356137,2012/13
E06000009,2013,17.4788910697901,2013/14
E06000009,2014,17.6847938714447,2014/15
E06000009,2015,17.6519925911257,2015/16
E06000009,2016,17.7244801649112,2016/17
E06000009,2017,17.3225644977137,2017/18
E06000009,2018,17.7956760852842,2018/19
E06000009,2019,18.2127752118996,2019/20
E06000009,2020,17.9333600045722,2020/21
E06000009,2021,17.8576694074284,2021/22
E06000009,2022,18.3621695672028,2022/23
E06000009,2023,18.8824770657607,2023/24
E06000009,2024,19.43574369,2024/25
E06000010,2012,13.815891426151,2012/13
E06000010,2013,14.0512966242372,2013/14
E06000010,2014,14.2534427482756,2014/15
E06000010,2015,14.1906596377399,2015/16
E06000010,2016,13.806978326368,2016/17
E06000010,2017,14.3761616323693,2017/18
E06000010,2018,14.4042187199054,2018/19
E06000010,2019,14.4331665852725,2019/20
E06000010,2020,14.2211616739231,2020/21
E06000010,2021,14.1925989594525,2021/22
E06000010,2022,14.5248253400765,2022/23
E06000010,2023,14.8479768951599,2023/24
E06000010,2024,15.46043019,2024/25
E06000011,2012,16.2315615101068,2012/13
E06000011,2013,16.5541320497535,2013/14
E06000011,2014,16.8033368776089,2014/15
E06000011,2015,17.1106153219877,2015/16
E06000011,2016,17.1978047604981,2016/17
E06000011,2017,17.5981264637002,2017/18
E06000011,2018,17.8584263814705,2018/19
E06000011,2019,18.0876290090318,2019/20
E06000011,2020,17.9895320197044,2020/21
E06000011,2021,18.2010280190392,2021/22
E06000011,2022,19.2585895117541,2022/23
E06000011,2023,19.9281608332382,2023/24
E06000011,2024,20.63088937,2024/25
E06000012,2012,15.9818546109621,2012/13
E06000012,2013,16.0400078493402,2013/14
E06000012,2014,15.991871652685,2014/15
E06000012,2015,15.9547619611839,2015/16
E06000012,2016,15.7501222835581,2016/17
E06000012,2017,16.0810037576022,2017/18
E06000012,2018,16.1482648729377,2018/19
E06000012,2019,16.1900233625659,2019/20
E06000012,2020,15.9614030971375,2020/21
E06000012,2021,15.9601229851859,2021/22
E06000012,2022,16.3197301776794,2022/23
E06000012,2023,16.7163097729834,2023/24
E06000012,2024,17.1589335,2024/25
E06000013,2012,16.6986564299424,2012/13
E06000013,2013,16.9130422234408,2013/14
E06000013,2014,16.9584610774302,2014/15
